Main_clade,Acoelomorph_or_not,Phylum,Species,Sequence,Blast,Blast_modified,Structural_or_Transcription,Prot_length,N_exons,Av_exon_length,Av_intron_length,Gene_length
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_044906186_1,Eya,Eya,Transcription_factor,616,18,101.83,19815.59,338698
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_044914005_1,Eya,Eya,Transcription_factor,616,18,101.83,14578.24,249663
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_NP_001357387_1,Eya,Eya,Transcription_factor,616,18,101.83,14833.76,254007
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_XP_047274234_1,Eya,Eya,Transcription_factor,622,18,102.83,14832.71,254007
Protostomia,Other,Mollusca,Pecten_maximus,Mollusca_Bivalvia_Pecten_maximus_Proteins_XP_033738544_1,Eya,Eya,Transcription_factor,634,18,104.83,3191.06,56135
Protostomia,Other,Brachiopoda,Lingula_anatina,Brachiopoda_Lingula_anatina_Proteins_XP_013418500_1,Eya,Eya,Transcription_factor,711,19,111.42,4707.72,86856
Protostomia,Other,Brachiopoda,Lingula_anatina,Brachiopoda_Lingula_anatina_Proteins_XP_013418554_1,Eya,Eya,Transcription_factor,706,19,110.63,4708.56,86856
Protostomia,Other,Brachiopoda,Lingula_anatina,Brachiopoda_Lingula_anatina_Proteins_XP_013418563_1,Eya,Eya,Transcription_factor,698,19,109.37,4709.89,86856
Protostomia,Other,Brachiopoda,Lingula_anatina,Brachiopoda_Lingula_anatina_Proteins_XP_013418586_1,Eya,Eya,Transcription_factor,679,19,106.37,4713.06,86856
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_044913993_1,Eya,Eya,Transcription_factor,645,19,101.00,13763.50,249662
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_044914000_1,Eya,Eya,Transcription_factor,639,19,100.05,13764.50,249662
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_NP_742103_1,Eya,Eya,Transcription_factor,639,19,100.05,14005.83,254006
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_XP_005266908_1,Eya,Eya,Transcription_factor,645,19,101.00,14004.83,254006
Protostomia,Other,Mollusca,Pecten_maximus,Mollusca_Bivalvia_Pecten_maximus_Proteins_XP_033738541_1,Eya,Eya,Transcription_factor,658,19,103.05,3009.78,56134
Protostomia,Other,Mollusca,Pecten_maximus,Mollusca_Bivalvia_Pecten_maximus_Proteins_XP_033738543_1,Eya,Eya,Transcription_factor,654,19,102.42,3010.44,56134
Protostomia,Other,Bryozoa,Bugula_neritina,Bryozoa_Bugula_neritina_Proteins_KAF6025309_1,Eya,Eya,Transcription_factor,964,22,130.59,1119.62,26385
Deuterostomia,Other,Echinodermata,Plazaster_borealis,Echinodermata_Asteroidea_Plazaster_borealis_Proteins_KPB_00010467-RA,Kirrel,Kirrel,Structural_protein,546,1,1640.00,NA,1640
Acoelomorpha,Nemertodermatida,Xenacoelomorpha,Nemertoderma_westbladi,Xenacoelomorpha_Nemertodermatida_Nemertoderma_westbladi_Proteins_jg5968_t1,Nephrin_Kirrel,Kirrel,Structural_protein,753,4,563.75,447.33,3597
Protostomia,Other,Annelida,Paraescaspia_echinospica,Annelida_Polychaeta_Paraescarpia_echinospica_Proteins_PE_Scaf2505_2_4,Kirrel,Kirrel,Structural_protein,544,10,162.20,1182.33,12263
Deuterostomia,Other,Chordata,Branchiostoma_floridae,Chordata_Cephalochordata_Branchiostoma_floridae_Proteins_XP_035682252_1,Kirrel,Kirrel,Structural_protein,675,12,168.00,4675.00,53441
Deuterostomia,Other,Chordata,Branchiostoma_floridae,Chordata_Cephalochordata_Branchiostoma_floridae_Proteins_XP_035682260_1,Kirrel,Kirrel,Structural_protein,674,12,167.75,4675.27,53441
Deuterostomia,Other,Chordata,Branchiostoma_floridae,Chordata_Cephalochordata_Branchiostoma_floridae_Proteins_XP_035682269_1,Kirrel,Kirrel,Structural_protein,665,12,165.50,4677.73,53441
Deuterostomia,Other,Echinodermata,Plazaster_borealis,Echinodermata_Asteroidea_Plazaster_borealis_Proteins_KPB_00022587-RA,Kirrel,Kirrel,Structural_protein,774,12,192.75,1488.27,18684
Protostomia,Other,Mollusca,Pecten_maximus,Mollusca_Bivalvia_Pecten_maximus_Proteins_XP_033757940_1,Kirrel,Kirrel,Structural_protein,697,12,173.50,6487.73,73447
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_NP_001273278_1,Kirrel,Kirrel,Structural_protein,657,13,150.85,8289.17,101431
Protostomia,Other,Mollusca,Pecten_maximus,Mollusca_Bivalvia_Pecten_maximus_Proteins_XP_033757939_1,Kirrel,Kirrel,Structural_protein,715,13,164.23,5942.58,73446
Acoelomorpha,Acoela,Xenacoelomorpha,Praesagittifera_naikaiensis,Xenacoelomorpha_Acoela_Praesagittifera_naikaiensis_Proteins_g38962_t2,Nephrin_Kirrel,Kirrel,Structural_protein,781,13,179.46,1750.58,23340
Protostomia,Other,Brachiopoda,Lingula_anatina,Brachiopoda_Lingula_anatina_Proteins_XP_013380224_1,Kirrel,Kirrel,Structural_protein,687,14,146.43,1311.85,19104
Protostomia,Other,Bryozoa,Bugula_neritina,Bryozoa_Bugula_neritina_Proteins_KAF6025426_1,Kirrel,Kirrel,Structural_protein,706,14,150.50,1174.38,17374
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_NP_001155179_1,Kirrel,Kirrel,Structural_protein,600,14,127.79,43645.77,569184
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_XP_047280266_1,Kirrel,Kirrel,Structural_protein,712,14,151.79,1287.54,18863
Acoelomorpha,Acoela,Xenacoelomorpha,Praesagittifera_naikaiensis,Xenacoelomorpha_Acoela_Praesagittifera_naikaiensis_Proteins_g38962_t1,Nephrin_Kirrel,Kirrel,Structural_protein,834,14,177.93,1603.69,23339
Acoelomorpha,Acoela,Xenacoelomorpha,Symsagittifera_roscoffensis,Xenacoelomorpha_Acoela_Symsagittifera_roscoffensis_Proteins_Sros151_017142,Nephrin_Kirrel,Kirrel,Structural_protein,1283,14,274.14,3229.85,45826
Acoelomorpha,Acoela,Xenacoelomorpha,Symsagittifera_roscoffensis,Xenacoelomorpha_Acoela_Symsagittifera_roscoffensis_Proteins_Sros151_020795,Nephrin_Kirrel,Kirrel,Structural_protein,856,14,182.64,1374.23,20422
Protostomia,Other,Brachiopoda,Lingula_anatina,Brachiopoda_Lingula_anatina_Proteins_XP_013380216_1,Kirrel,Kirrel,Structural_protein,695,15,138.20,1216.43,19103
Protostomia,Other,Brachiopoda,Lingula_anatina,Brachiopoda_Lingula_anatina_Proteins_XP_013380217_1,Kirrel,Kirrel,Structural_protein,695,15,138.20,1216.43,19103
Protostomia,Other,Brachiopoda,Lingula_anatina,Brachiopoda_Lingula_anatina_Proteins_XP_013380218_1,Kirrel,Kirrel,Structural_protein,695,15,138.20,1216.43,19103
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_023103714_1,Kirrel,Kirrel,Structural_protein,773,15,153.80,6563.64,94198
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_023103715_1,Kirrel,Kirrel,Structural_protein,757,15,150.60,6567.07,94198
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_023103717_1,Kirrel,Kirrel,Structural_protein,662,15,131.60,6587.43,94198
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_NP_060710_3,Kirrel,Kirrel,Structural_protein,757,15,150.60,7083.57,101429
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_XP_005245362_1,Kirrel,Kirrel,Structural_protein,773,15,153.80,7080.14,101429
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_023095062_1,Kirrel,Kirrel,Structural_protein,791,16,147.50,36520.80,550172
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_NP_001288026_1,Kirrel,Kirrel,Structural_protein,766,16,142.81,38241.93,575914
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_XP_011541334_1,Kirrel,Kirrel,Structural_protein,772,16,143.94,38230.27,575757
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_XP_016873908_1,Kirrel,Kirrel,Structural_protein,791,16,147.50,38236.93,575914
Acoelomorpha,Acoela,Xenacoelomorpha,Praesagittifera_naikaiensis,Xenacoelomorpha_Acoela_Praesagittifera_naikaiensis_Proteins_g38962_t3,Nephrin_Kirrel,Kirrel,Structural_protein,967,16,180.50,1363.27,23337
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_023095060_1,Kirrel,Kirrel,Structural_protein,803,17,140.88,34236.00,550171
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_023095061_1,Kirrel,Kirrel,Structural_protein,803,17,140.88,34236.00,550171
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_023095063_1,Kirrel,Kirrel,Structural_protein,778,17,136.47,34240.69,550171
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_NP_115920_1,Kirrel,Kirrel,Structural_protein,778,17,136.47,35849.56,575913
Acoelomorpha,Nemertodermatida,Xenacoelomorpha,Nemertoderma_westbladi,Xenacoelomorpha_Nemertodermatida_Nemertoderma_westbladi_Proteins_jg6849_t1,LIM,Lhx,Transcription_factor,398,1,1193.00,NA,1193
Acoelomorpha,Nemertodermatida,Xenacoelomorpha,Nemertoderma_westbladi,Xenacoelomorpha_Nemertodermatida_Nemertoderma_westbladi_Proteins_jg9444_t1,LIM,Lhx,Transcription_factor,331,1,992.00,NA,992
Deuterostomia,Other,Echinodermata,Plazaster_borealis,Echinodermata_Asteroidea_Plazaster_borealis_Proteins_KPB_00008023-RA,Lhx5,Lhx,Transcription_factor,162,2,243.50,331.00,818
Protostomia,Other,Annelida,Paraescaspia_echinospica,Annelida_Polychaeta_Paraescarpia_echinospica_Proteins_PE_Scaf1584_4_9,LIM,Lhx,Transcription_factor,261,3,260.00,3042.50,6865
Protostomia,Other,Annelida,Paraescaspia_echinospica,Annelida_Polychaeta_Paraescarpia_echinospica_Proteins_PE_Scaf6899_1_3,LIM,Lhx,Transcription_factor,270,3,269.00,2155.50,5118
Deuterostomia,Other,Echinodermata,Plazaster_borealis,Echinodermata_Asteroidea_Plazaster_borealis_Proteins_KPB_00017317-RB,Lhx1,Lhx,Transcription_factor,152,4,113.75,706.00,2573
Protostomia,Other,Mollusca,Lautoconus_ventricosus,Mollusca_Gastropoda_Lautoconus_ventricosus_Proteins_ANN23121-RA,Lhx3,Lhx,Transcription_factor,240,4,179.75,3750.33,11970
Protostomia,Other,Mollusca,Lautoconus_ventricosus,Mollusca_Gastropoda_Lautoconus_ventricosus_Proteins_ANN25301-RA,Lhx3,Lhx,Transcription_factor,437,4,326.75,846.00,3845
Acoelomorpha,Acoela,Xenacoelomorpha,Symsagittifera_roscoffensis,Xenacoelomorpha_Acoela_Symsagittifera_roscoffensis_Proteins_Sros151_000311,LIM,Lhx,Transcription_factor,542,4,406.25,1591.67,6400
Acoelomorpha,Nemertodermatida,Xenacoelomorpha,Nemertoderma_westbladi,Xenacoelomorpha_Nemertodermatida_Nemertoderma_westbladi_Proteins_jg27463_t1,LIM,Lhx,Transcription_factor,413,4,308.75,2468.33,8640
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_003996636_1,Lhx1,Lhx,Transcription_factor,406,5,243.20,930.00,4936
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_XP_047291922_1,Lhx1,Lhx,Transcription_factor,406,5,243.20,928.25,4929
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_XP_047291923_1,Lhx1,Lhx,Transcription_factor,406,5,243.20,928.25,4929
Protostomia,Other,Mollusca,Pecten_maximus,Mollusca_Bivalvia_Pecten_maximus_Proteins_XP_033747786_1,Lhx1,Lhx,Transcription_factor,387,5,231.80,10616.00,43623
Protostomia,Other,Mollusca,Pecten_maximus,Mollusca_Bivalvia_Pecten_maximus_Proteins_XP_033732102_1,Lhx3,Lhx,Transcription_factor,392,5,234.80,8134.75,33713
Protostomia,Other,Mollusca,Pecten_maximus,Mollusca_Bivalvia_Pecten_maximus_Proteins_XP_033732103_1,Lhx3,Lhx,Transcription_factor,390,5,233.60,8136.25,33713
Protostomia,Other,Mollusca,Lautoconus_ventricosus,Mollusca_Gastropoda_Lautoconus_ventricosus_Proteins_ANN24091-RA,Lhx3,Lhx,Transcription_factor,271,5,162.20,1821.00,8095
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_023096960_1,Lhx5,Lhx,Transcription_factor,402,5,240.80,1794.50,8382
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_NP_071758_1,Lhx5,Lhx,Transcription_factor,402,5,240.80,1775.00,8304
Cnidaria,Other,Cnidaria,Hydra_vulgaris,Cnidaria_Hydrozoa_Hydra_vulgaris_Proteins_XP_047142365_1,Lhx5,Lhx,Transcription_factor,284,5,170.00,4168.75,17525
Cnidaria,Other,Cnidaria,Hydra_vulgaris,Cnidaria_Hydrozoa_Hydra_vulgaris_Proteins_XP_047142366_1,Lhx5,Lhx,Transcription_factor,228,5,136.40,4178.00,17394
Protostomia,Other,Brachiopoda,Lingula_anatina,Brachiopoda_Lingula_anatina_Proteins_XP_013382228_1,LIM,Lhx,Transcription_factor,373,5,223.40,5053.50,21331
Deuterostomia,Other,Chordata,Branchiostoma_floridae,Chordata_Cephalochordata_Branchiostoma_floridae_Proteins_XP_035672906_1,LIM,Lhx,Transcription_factor,464,5,278.00,27643.00,111962
Deuterostomia,Other,Chordata,Branchiostoma_floridae,Chordata_Cephalochordata_Branchiostoma_floridae_Proteins_XP_035672907_1,LIM,Lhx,Transcription_factor,463,5,277.40,27643.75,111962
Acoelomorpha,Acoela,Xenacoelomorpha,Praesagittifera_naikaiensis,Xenacoelomorpha_Acoela_Praesagittifera_naikaiensis_Proteins_g32007_t1,LIM,Lhx,Transcription_factor,713,5,427.40,886.25,5682
Acoelomorpha,Acoela,Xenacoelomorpha,Praesagittifera_naikaiensis,Xenacoelomorpha_Acoela_Praesagittifera_naikaiensis_Proteins_g32007_t2,LIM,Lhx,Transcription_factor,709,5,425.00,889.25,5682
Acoelomorpha,Acoela,Xenacoelomorpha,Symsagittifera_roscoffensis,Xenacoelomorpha_Acoela_Symsagittifera_roscoffensis_Proteins_Sros151_029626,LIM,Lhx,Transcription_factor,822,5,492.80,1733.75,9399
Protostomia,Other,Mollusca,Pecten_maximus,Mollusca_Bivalvia_Pecten_maximus_Proteins_XP_033732260_1,Lhx1,Lhx,Transcription_factor,267,6,133.00,2887.40,15235
Deuterostomia,Other,Chordata,Branchiostoma_floridae,Chordata_Cephalochordata_Branchiostoma_floridae_Proteins_XP_035684603_1,Lhx3,Lhx,Transcription_factor,402,6,200.50,1317.60,7791
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_023098807_1,Lhx3,Lhx,Transcription_factor,403,6,201.00,839.00,5401
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_023098808_1,Lhx3,Lhx,Transcription_factor,401,6,200.00,1198.60,7193
Deuterostomia,Other,Echinodermata,Plazaster_borealis,Echinodermata_Asteroidea_Plazaster_borealis_Proteins_KPB_00017466-RA,Lhx3,Lhx,Transcription_factor,405,6,202.00,2250.60,12465
Acoelomorpha,Nemertodermatida,Xenacoelomorpha,Nemertoderma_westbladi,Xenacoelomorpha_Nemertodermatida_Nemertoderma_westbladi_Proteins_jg20130_t1,Lhx3,Lhx,Transcription_factor,441,6,219.50,1845.00,10542
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_003999336_1,Lhx4,Lhx,Transcription_factor,390,6,194.50,8101.80,41676
Protostomia,Other,Bryozoa,Bugula_neritina,Bryozoa_Bugula_neritina_Proteins_KAF6036025_1,Lhx9,Lhx,Transcription_factor,495,6,247.00,1937.00,11167
Protostomia,Other,Bryozoa,Bugula_neritina,Bryozoa_Bugula_neritina_Proteins_KAF6036044_1,Lhx9,Lhx,Transcription_factor,507,6,253.00,1835.20,10694
Protostomia,Other,Brachiopoda,Lingula_anatina,Brachiopoda_Lingula_anatina_Proteins_XP_013413189_1,LIM,Lhx,Transcription_factor,422,6,210.50,3580.60,19166
Protostomia,Other,Bryozoa,Bugula_neritina,Bryozoa_Bugula_neritina_Proteins_KAF6019718_1,LIM,Lhx,Transcription_factor,251,6,125.00,1077.00,6135
Deuterostomia,Other,Chordata,Branchiostoma_floridae,Chordata_Cephalochordata_Branchiostoma_floridae_Proteins_XP_035684600_1,LIM,Lhx,Transcription_factor,419,6,209.00,2954.20,16025
Deuterostomia,Other,Chordata,Branchiostoma_floridae,Chordata_Cephalochordata_Branchiostoma_floridae_Proteins_XP_035684602_1,LIM,Lhx,Transcription_factor,410,6,204.50,3654.60,19500
Acoelomorpha,Acoela,Xenacoelomorpha,Symsagittifera_roscoffensis,Xenacoelomorpha_Acoela_Symsagittifera_roscoffensis_Proteins_Sros151_010081,LIM,Lhx,Transcription_factor,455,7,194.43,1050.33,7663
Protostomia,Other,Brachiopoda,Lingula_anatina,Brachiopoda_Lingula_anatina_Proteins_XP_013382293_1,LIM,Lhx,Transcription_factor,333,8,124.25,2277.29,16935
Cnidaria,Other,Cnidaria,Scolanthus_callimorphus,Cnidaria_Anthozoa_Scolanthus_callimorphus_Proteins_NY_Scal100_v1.347.1,LIM,Lhx,Transcription_factor,436,8,162.88,3385.14,24999
Acoelomorpha,Acoela,Xenacoelomorpha,Symsagittifera_roscoffensis,Xenacoelomorpha_Acoela_Symsagittifera_roscoffensis_Proteins_Sros151_017265,LIM,Lhx,Transcription_factor,645,8,241.25,1546.71,12757
Protostomia,Other,Brachiopoda,Lingula_anatina,Brachiopoda_Lingula_anatina_Proteins_XP_013415182_1,LIM,Lhx,Transcription_factor,386,9,128.00,3463.75,28862
Acoelomorpha,Nemertodermatida,Xenacoelomorpha,Nemertoderma_westbladi,Xenacoelomorpha_Nemertodermatida_Nemertoderma_westbladi_Proteins_jg27560_t1,LIM,Lhx,Transcription_factor,1126,9,374.33,1901.88,18584
Deuterostomia,Other,Chordata,Homo_sapiens,Chordata_Craniata_Homo_sapiens_Proteins_NP_005559_2,Lhx1,Lhx,Transcription_factor,406,10,243.20,3974014.44,35768562
Protostomia,Other,Mollusca,Lautoconus_ventricosus,Mollusca_Gastropoda_Lautoconus_ventricosus_Proteins_ANN23564-RA,Lhx1,Lhx,Transcription_factor,409,10,122.00,1151.11,11580
Cnidaria,Other,Cnidaria,Hydra_vulgaris,Cnidaria_Hydrozoa_Hydra_vulgaris_Proteins_XP_047135256_1,Lhx6_8,Lhx,Transcription_factor,765,11,207.91,5901.30,61300
Acoelomorpha,Nemertodermatida,Xenacoelomorpha,Nemertoderma_westbladi,Xenacoelomorpha_Nemertodermatida_Nemertoderma_westbladi_Proteins_jg3734_t1,Nephrin,Nephrin,Structural_protein,1144,1,3431.00,NA,3431
Acoelomorpha,Nemertodermatida,Xenacoelomorpha,Nemertoderma_westbladi,Xenacoelomorpha_Nemertodermatida_Nemertoderma_westbladi_Proteins_jg20029_t1,Nephrin,Nephrin,Structural_protein,514,3,512.33,609.00,2755
Protostomia,Other,Mollusca,Lautoconus_ventricosus,Mollusca_Gastropoda_Lautoconus_ventricosus_Proteins_ANN27771-RA,Nephrin,Nephrin,Structural_protein,315,5,188.60,2902.25,12552
Protostomia,Other,Mollusca,Lautoconus_ventricosus,Mollusca_Gastropoda_Lautoconus_ventricosus_Proteins_ANN27770-RA,Nephrin,Nephrin,Structural_protein,534,10,159.20,2003.00,19619
Deuterostomia,Other,Chordata,Branchiostoma_floridae,Chordata_Cephalochordata_Branchiostoma_floridae_Proteins_XP_035682142_1,Nephrin,Nephrin,Structural_protein,1315,20,196.40,3074.47,62343
Protostomia,Other,Annelida,Paraescaspia_echinospica,Annelida_Polychaeta_Paraescarpia_echinospica_Proteins_PE_Scaf5632_8_3,Nephrin,Nephrin,Structural_protein,1283,21,182.29,1246.55,28759
Deuterostomia,Other,Chordata,Branchiostoma_floridae,Chordata_Cephalochordata_Branchiostoma_floridae_Proteins_XP_035682115_1,Nephrin,Nephrin,Structural_protein,1325,21,188.43,2919.25,62342
Deuterostomia,Other,Chordata,Branchiostoma_floridae,Chordata_Cephalochordata_Branchiostoma_floridae_Proteins_XP_035682124_1,Nephrin,Nephrin,Structural_protein,1324,21,188.29,2919.40,62342
Deuterostomia,Other,Chordata,Branchiostoma_floridae,Chordata_Cephalochordata_Branchiostoma_floridae_Proteins_XP_035682132_1,Nephrin,Nephrin,Structural_protein,1312,21,186.57,3522.50,74368
Deuterostomia,Other,Chordata,Branchiostoma_floridae,Chordata_Cephalochordata_Branchiostoma_floridae_Proteins_XP_035682138_1,Nephrin,Nephrin,Structural_protein,1316,21,187.14,2920.60,62342
Deuterostomia,Other,Chordata,Branchiostoma_floridae,Chordata_Cephalochordata_Branchiostoma_floridae_Proteins_XP_035682232_1,Nephrin,Nephrin,Structural_protein,1301,21,185.00,2922.85,62342
Protostomia,Other,Mollusca,Pecten_maximus,Mollusca_Bivalvia_Pecten_maximus_Proteins_XP_033757882_1,Nephrin,Nephrin,Structural_protein,1333,21,189.57,4363.10,91243
Protostomia,Other,Bryozoa,Bugula_neritina,Bryozoa_Bugula_neritina_Proteins_KAF6031849_1,Nephrin,Nephrin,Structural_protein,1277,22,173.27,766.10,19900
Deuterostomia,Other,Echinodermata,Plazaster_borealis,Echinodermata_Asteroidea_Plazaster_borealis_Proteins_KPB_00022588-RA,Nephrin,Nephrin,Structural_protein,1267,22,171.91,1253.05,30096
Protostomia,Other,Mollusca,Pecten_maximus,Mollusca_Bivalvia_Pecten_maximus_Proteins_XP_033757881_1,Nephrin,Nephrin,Structural_protein,1370,22,185.95,4150.05,91242
Acoelomorpha,Acoela,Xenacoelomorpha,Symsagittifera_roscoffensis,Xenacoelomorpha_Acoela_Symsagittifera_roscoffensis_Proteins_Sros151_011207,Nephrin,Nephrin,Structural_protein,847,22,114.64,1241.71,28598
Protostomia,Other,Brachiopoda,Lingula_anatina,Brachiopoda_Lingula_anatina_Proteins_XP_013380213_1,Nephrin,Nephrin,Structural_protein,1315,23,170.65,1415.77,35072
Protostomia,Other,Brachiopoda,Lingula_anatina,Brachiopoda_Lingula_anatina_Proteins_XP_013380214_1,Nephrin,Nephrin,Structural_protein,1315,23,170.65,1485.00,36595
Protostomia,Other,Brachiopoda,Lingula_anatina,Brachiopoda_Lingula_anatina_Proteins_XP_013380215_1,Nephrin,Nephrin,Structural_protein,1302,23,168.96,1417.55,35072
Protostomia,Other,Mollusca,Pecten_maximus,Mollusca_Bivalvia_Pecten_maximus_Proteins_XP_033757879_1,Nephrin,Nephrin,Structural_protein,1397,23,181.35,3957.73,91241
Protostomia,Other,Mollusca,Pecten_maximus,Mollusca_Bivalvia_Pecten_maximus_Proteins_XP_033757880_1,Nephrin,Nephrin,Structural_protein,1397,23,181.35,3957.73,91241
Deuterostomia,Other,Chordata,Felis_catus,Chordata_Craniata_Felis_catus_Proteins_XP_044902357_1,Nephrin,Nephrin,Structural_protein,1063,24,132.00,425.43,12953
